Nodo,No. Paquete,Estatus del paquete,Tiempo de entrega,No. SEQ, No. Veces enviado,Tamaño en bytes,Iteración,Semilla,TTS,No. Paquetes a enviar,TA,TB 
0,1,1,2.702567,453806247,2,1000,1,1,3.000116,1,1,1
0,1,1,2.45105,453806247,2,1000,1,4,3.000165,1,1,1
0,1,1,4.626245,453806247,4,1000,1,6,5.000147,1,1,1
0,1,1,3.724398,453806247,3,1000,1,13,4.000161,1,1,1
0,1,1,2.957214,453806247,2,1000,1,21,3.000091,1,1,1
0,1,1,2.470621,453806247,2,1000,1,26,3.000123,1,1,1
0,1,1,2.81594,453806247,2,1000,1,31,3.000154,1,1,1
0,1,1,4.903609,453806247,4,1000,1,32,5.00007,1,1,1
0,1,1,2.429043,453806247,2,1000,1,38,3.000168,1,1,1
0,1,1,2.86695,453806247,2,1000,1,43,3.000199,1,1,1
0,1,1,2.929795,453806247,2,1000,1,48,3.000081,1,1,1
0,1,1,2.848596,453806247,2,1000,1,55,3.000095,1,1,1
0,1,1,2.362003,453806247,2,1000,1,60,3.000126,1,1,1
0,1,1,4.706407,453806247,4,1000,1,64,5.000091,1,1,1
0,1,1,2.975412,453806247,2,1000,1,65,3.000158,1,1,1
0,1,1,2.894213,453806247,2,1000,1,72,3.000172,1,1,1
0,1,1,3.833857,453806247,3,1000,1,73,4.000088,1,1,1
0,1,1,2.744944,453806247,2,1000,1,77,3.000053,1,1,1
0,1,1,2.821178,453806247,2,1000,1,82,3.000084,1,1,1
0,1,1,2.896103,453806247,2,1000,1,89,3.000098,1,1,1
0,1,1,2.983626,453806247,2,1000,1,90,3.000165,1,1,1
0,1,1,2.372101,453806247,2,1000,1,94,3.00013,1,1,1
0,1,1,4.735416,453806247,4,1000,1,110,5.00014,1,1,1
0,1,1,2.901772,453806247,2,1000,1,112,3.000123,1,1,1
0,1,1,2.914007,453806247,2,1000,1,117,3.000154,1,1,1
0,1,1,3.921334,453806247,3,1000,1,121,4.000119,1,1,1
0,1,1,2.786424,453806247,2,1000,1,122,3.000186,1,1,1
